"study","dataset","version","distribution"
"soep-fid","f10eltern1","v3.1","v3.1"
"soep-fid","f10eltern2","v3.1","v3.1"
"soep-fid","f10eltern3","v3.1","v3.1"
"soep-fid","f10eltern4","v3.1","v3.1"
"soep-fid","f10eltern5","v3.1","v3.1"
"soep-fid","f10eltern6","v3.1","v3.1"
"soep-fid","f10h","v3.1","v3.1"
"soep-fid","f10hbrutto","v3.1","v3.1"
"soep-fid","f10hgen","v3.1","v3.1"
"soep-fid","f10jugend","v3.1","v3.1"
"soep-fid","f10kind","v3.1","v3.1"
"soep-fid","f10lela","v3.1","v3.1"
"soep-fid","f10mihinc","v3.1","v3.1"
"soep-fid","f10mipinc","v3.1","v3.1"
"soep-fid","f10p","v3.1","v3.1"
"soep-fid","f10pbrutto","v3.1","v3.1"
"soep-fid","f10pgen","v3.1","v3.1"
"soep-fid","f10pkal","v3.1","v3.1"
"soep-fid","hbrutt10_fid","v3.1","v3.1"
"soep-fid","f11eltern1","v3.1","v3.1"
"soep-fid","f11eltern2","v3.1","v3.1"
"soep-fid","f11eltern3","v3.1","v3.1"
"soep-fid","f11eltern4","v3.1","v3.1"
"soep-fid","f11eltern5","v3.1","v3.1"
"soep-fid","f11eltern6","v3.1","v3.1"
"soep-fid","f11h","v3.1","v3.1"
"soep-fid","f11hbrutto","v3.1","v3.1"
"soep-fid","f11hgen","v3.1","v3.1"
"soep-fid","f11jugend","v3.1","v3.1"
"soep-fid","f11kind","v3.1","v3.1"
"soep-fid","f11lela","v3.1","v3.1"
"soep-fid","f11mihinc","v3.1","v3.1"
"soep-fid","f11mipinc","v3.1","v3.1"
"soep-fid","f11p","v3.1","v3.1"
"soep-fid","f11pbrutto","v3.1","v3.1"
"soep-fid","f11pgen","v3.1","v3.1"
"soep-fid","f11pkal","v3.1","v3.1"
"soep-fid","hbrutt11_fid","v3.1","v3.1"
"soep-fid","f11luecke ","v3.1","v3.1"
"soep-fid","f12eltern1","v3.1","v3.1"
"soep-fid","f12eltern2","v3.1","v3.1"
"soep-fid","f12eltern3","v3.1","v3.1"
"soep-fid","f12eltern4","v3.1","v3.1"
"soep-fid","f12eltern5","v3.1","v3.1"
"soep-fid","f12eltern6","v3.1","v3.1"
"soep-fid","f12h","v3.1","v3.1"
"soep-fid","f12hbrutto","v3.1","v3.1"
"soep-fid","f12hgen","v3.1","v3.1"
"soep-fid","f12jugend","v3.1","v3.1"
"soep-fid","f12kind","v3.1","v3.1"
"soep-fid","f12lela","v3.1","v3.1"
"soep-fid","f12mihinc","v3.1","v3.1"
"soep-fid","f12mipinc","v3.1","v3.1"
"soep-fid","f12p","v3.1","v3.1"
"soep-fid","f12pbrutto","v3.1","v3.1"
"soep-fid","f12pgen","v3.1","v3.1"
"soep-fid","f12pkal","v3.1","v3.1"
"soep-fid","artkalen","v3.1","v3.1"
"soep-fid","bioage01","v3.1","v3.1"
"soep-fid","bioage02","v3.1","v3.1"
"soep-fid","bioage03","v3.1","v3.1"
"soep-fid","bioage06","v3.1","v3.1"
"soep-fid","bioage08p1","v3.1","v3.1"
"soep-fid","bioage08p2","v3.1","v3.1"
"soep-fid","bioage10p1","v3.1","v3.1"
"soep-fid","bioage10p2","v3.1","v3.1"
"soep-fid","bioage17","v3.1","v3.1"
"soep-fid","bioagel","v3.1","v3.1"
"soep-fid","biobirth","v3.1","v3.1"
"soep-fid","biocouply","v3.1","v3.1"
"soep-fid","bioparen","v3.1","v3.1"
"soep-fid","biomarsy","v3.1","v3.1"
"soep-fid","bioresid","v3.1","v3.1"
"soep-fid","hhrf","v3.1","v3.1"
"soep-fid","hhrf_fidsoep","v3.1","v3.1"
"soep-fid","hpfad","v3.1","v3.1"
"soep-fid","pbiospe","v3.1","v3.1"
"soep-fid","phrf","v3.1","v3.1"
"soep-fid","phrf_fidsoep","v3.1","v3.1"
"soep-fid","ppfad","v3.1","v3.1"
"soep-fid","paradatal","v3.1","v3.1"
